name	len	vol	rad	voxc	defc	col	tips	parent	beta	gamma	nchild	q	s
"(99, 103, 58)-(100, 70, 61)"	44.2212	582.272101	2.047259	1507	577	#fff37ffffffffffffef6	36	"(99, 81, 53)-(99, 103, 58)"	0.723641	1.662898	2	NA	NA
"(100, 70, 61)-(106, 59, 60)"	23.003958	187.203611	1.609463	569	270	#00c4ff	31	"(99, 103, 58)-(100, 70, 61)"	0.786155	0.520202	2	2.567398846	NA
"(105, 47, 61)-(106, 59, 60)"	14.835165	69.496993	1.22113	140	29	#00ff74	30	"(100, 70, 61)-(106, 59, 60)"	0.758719	0.644896	2	NA	NA
"(105, 47, 61)-(109, 48, 60)"	5.37444	15.026377	0.943378	33	9	#dcff7fffffffffffff24	29	"(105, 47, 61)-(106, 59, 60)"	0.772545	0.362277	2	NA	NA
"(109, 48, 60)-(113, 64, 59)"	25.893709	140.246184	1.313026	467	243	#009dff	28	"(105, 47, 61)-(109, 48, 60)"	1.391835	4.817936	2	NA	1.338421535
"(113, 64, 59)-(115, 53, 49)"	19.330409	381.920411	2.507789	823	213	#ff0020	8	"(109, 48, 60)-(113, 64, 59)"	1.90993	0.746529	2	2.370122815	NA
"(114, 51, 42)-(115, 53, 49)"	10.262772	60.731606	1.372461	336	239	#c200ff	2	"(113, 64, 59)-(115, 53, 49)"	0.547279	0.530913	2	NA	1.037845935
"(114, 51, 42)-(115, 49, 42)"	2.019876	1.878297	0.544058	3	0	#00ff78	1	"(114, 51, 42)-(115, 53, 49)"	0.39641	0.196816	0	NA	NA
"(111, 43, 42)-(114, 51, 42)"	8.42606	70.749191	1.634834	367	254	#cfff7fffffffffffff31	1	"(114, 51, 42)-(115, 53, 49)"	1.191169	0.821032	0	NA	NA
"(114, 28, 48)-(115, 53, 49)"	29.06923	455.800097	2.234063	1100	372	#0032ff	6	"(113, 64, 59)-(115, 53, 49)"	0.89085	1.503808	2	5.586191005	0.557440199
"(114, 28, 48)-(116, 16, 49)"	14.483605	199.725592	2.095094	617	298	#00ff6f	5	"(114, 28, 48)-(115, 53, 49)"	0.937795	0.498245	2	NA	NA
"(116, 16, 49)-(119, 14, 44)"	8.847262	38.192041	1.172214	153	92	#00ff37	1	"(114, 28, 48)-(116, 16, 49)"	0.559504	0.610847	0	NA	NA
"(110, 4, 52)-(116, 16, 49)"	20.245445	314.301715	2.222976	857	355	#a3ff7fffffffffffff5d	4	"(114, 28, 48)-(116, 16, 49)"	1.061039	1.397818	2	1.096650807	0.74441811
"(110, 3, 42)-(110, 4, 52)"	12.362298	50.714022	1.142719	233	152	#ffeb7ffffffffffffeee	3	"(110, 4, 52)-(116, 16, 49)"	0.514049	0.610621	2	3.299658337	0.77508329
"(108, 6, 39)-(110, 3, 42)"	4.769389	14.400278	0.980345	83	60	#ffda7ffffffffffffedd	2	"(110, 3, 42)-(110, 4, 52)"	0.857906	0.385801	2	NA	NA
"(108, 6, 39)-(111, 5, 34)"	9.166932	30.052754	1.02154	141	93	#0500ff	1	"(108, 6, 39)-(110, 3, 42)"	1.04202	1.922035	0	NA	NA
"(107, 0, 34)-(108, 6, 39)"	8.892199	17.530773	0.792175	35	7	#8dff7fffffffffffff73	1	"(108, 6, 39)-(110, 3, 42)"	0.808057	1.864431	0	NA	NA
"(107, 0, 38)-(110, 3, 42)"	5.344146	12.521981	0.863619	50	30	#00f8ff	1	"(110, 3, 42)-(110, 4, 52)"	0.755758	0.432294	0	NA	NA
"(107, 3, 54)-(110, 4, 52)"	4.149695	19.40907	1.220167	63	32	#ff467ffffffffffffe49	1	"(110, 4, 52)-(116, 16, 49)"	0.548889	0.204969	0	NA	NA
"(111, 28, 46)-(114, 28, 48)"	3.803139	38.81814	1.802484	210	148	#0079ff	1	"(114, 28, 48)-(115, 53, 49)"	0.806818	0.13083	0	NA	NA
"(113, 64, 59)-(114, 73, 61)"	11.150283	125.219807	1.890683	431	231	#0045ff	20	"(109, 48, 60)-(113, 64, 59)"	1.439943	0.430617	2	NA	NA
"(114, 73, 61)-(116, 60, 61)"	14.756058	158.403056	1.848509	281	28	#43ff7fffffffffffffbd	16	"(113, 64, 59)-(114, 73, 61)"	0.977694	1.32338	2	NA	NA
"(116, 60, 61)-(125, 28, 61)"	46.657417	351.867657	1.549367	1265	703	#3700ff	14	"(114, 73, 61)-(116, 60, 61)"	0.838171	3.161916	2	1.483739359	0.358464703
"(125, 28, 61)-(127, 26, 57)"	5.415969	11.895882	0.836152	44	25	#ffc67ffffffffffffec9	1	"(116, 60, 61)-(125, 28, 61)"	0.539673	0.116079	0	NA	NA
"(124, 21, 61)-(125, 28, 61)"	8.272505	31.304952	1.097522	76	26	#ff427ffffffffffffe45	13	"(116, 60, 61)-(125, 28, 61)"	0.708368	0.177303	2	NA	NA
"(124, 21, 61)-(125, 20, 61)"	1.183216	1.252198	0.580403	2	0	#ff407ffffffffffffe43	4	"(124, 21, 61)-(125, 28, 61)"	0.528831	0.14303	2	NA	NA
"(125, 18, 57)-(125, 20, 61)"	4.898979	12.521981	0.902005	24	4	#ff0055	2	"(124, 21, 61)-(125, 20, 61)"	1.554101	4.140393	2	NA	NA
"(123, 20, 54)-(125, 18, 57)"	4.527133	21.913466	1.241278	60	25	#3e00ff	1	"(125, 18, 57)-(125, 20, 61)"	1.376132	0.924097	0	NA	NA
"(119, 9, 64)-(125, 18, 57)"	16.41542	72.627488	1.186724	194	78	#0093ff	1	"(125, 18, 57)-(125, 20, 61)"	1.315651	3.350784	0	NA	NA
"(125, 9, 63)-(125, 20, 61)"	12.741871	47.583527	1.090277	89	13	#00ff03	2	"(124, 21, 61)-(125, 20, 61)"	1.878483	10.768846	2	NA	0.619126838
"(123, 8, 64)-(125, 9, 63)"	3.503116	8.139287	0.859985	22	9	#00ff57	1	"(125, 9, 63)-(125, 20, 61)"	0.788777	0.274929	0	NA	NA
"(123, 6, 60)-(125, 9, 63)"	4.857451	27.548357	1.343596	143	99	#6dff7fffffffffffff93	1	"(125, 9, 63)-(125, 20, 61)"	1.232344	0.38122	0	NA	NA
"(120, 12, 57)-(124, 21, 61)"	12.65381	61.983804	1.248687	208	109	#77ff7fffffffffffff89	9	"(124, 21, 61)-(125, 28, 61)"	1.137733	1.529622	2	NA	NA
"(120, 12, 57)-(122, 35, 51)"	32.186541	162.15965	1.266366	574	315	#79ff7fffffffffffff87	8	"(120, 12, 57)-(124, 21, 61)"	1.014158	2.543625	2	NA	NA
